location,latitude,longitude,forecast_time,valid_time,lead_hours,temperature_forecast_c,wind_speed_forecast_ms,cloud_cover_forecast_pct,solar_radiation_forecast_wm2
Berlin,52.5,13.5,2026-09-17 06:00:00,2026-09-17 12:00:00,6,18.54,3.73,92.19,435.11
Berlin,52.5,13.5,2026-09-17 06:00:00,2026-09-17 18:00:00,12,15.82,2.64,94.53,229.74
Berlin,52.5,13.5,2026-09-17 06:00:00,2026-09-18 06:00:00,24,13.6,2.7,100.0,3.6
Berlin,52.5,13.5,2026-09-17 06:00:00,2026-09-19 06:00:00,48,12.47,3.36,78.12,9.67
Hamburg,53.5,10.0,2026-09-17 06:00:00,2026-09-17 12:00:00,6,16.85,5.21,100.0,263.61
Hamburg,53.5,10.0,2026-09-17 06:00:00,2026-09-17 18:00:00,12,15.32,4.96,98.44,132.43
Hamburg,53.5,10.0,2026-09-17 06:00:00,2026-09-18 06:00:00,24,12.91,3.87,15.62,6.09
Hamburg,53.5,10.0,2026-09-17 06:00:00,2026-09-19 06:00:00,48,13.13,4.91,100.0,3.13
Munich,48.25,11.5,2026-09-17 06:00:00,2026-09-17 12:00:00,6,18.48,2.78,77.34,467.29
Munich,48.25,11.5,2026-09-17 06:00:00,2026-09-17 18:00:00,12,14.54,1.19,46.09,284.66
Munich,48.25,11.5,2026-09-17 06:00:00,2026-09-18 06:00:00,24,12.23,2.25,98.44,2.54
Munich,48.25,11.5,2026-09-17 06:00:00,2026-09-19 06:00:00,48,9.85,1.68,23.44,7.96
